1092764	1000311
1095122	1000557
6708070	1007267
10088054	1042317
1195917	1042317
1112006	1000557
1187350	1294511
1116694	1327092
6793225	1042317
1079959	1000557
6789612	1000591
1262241	1000591
6791455	1000591
6694867	1000591
10141141	1113738
1295140	1000591
1027859	1252408
2127019	1000591
2153974	1000591
1232342	1000591
6968887	1252408
1159841	6826174
1195492	1327092
7026209	1246742
2012022	1001590
1274042	1327092
1073626	668
	2002877
	6826174
2038625	1001646
1026463	1327652
2039670	1001646
6798013	1002414
1069294	1009335
2056950	1010728
1003908	1011075
6607001	1013391
2051033	1014131
2136930	1018491
2040025	1029792
2123236	1068687
1017615	668
1037679	1003105
2056553	1103336
1182866	1157715
2080828	1334990
1235280	1003468
1182267	1003468
1029279	1327810
2177612	1338247
2023293	1003468
1036318	1003468
2116355	1003468
1080440	1003468
1202545	1003681
2086086	1239865
1024104	1239865
1232028	1003681
6771152	1003681
1264719	1003681
2050072	606
1043270	1007064
6645318	2092231
10398083	1250233
10363575	1854
10063743	1018880
9920551	207
10159017	113
1276298	1338247
9990266	6785079
2124635	2034728
1094739	1239865
2138437	1338247
1194484	1003681
6772396	1004077
10243262	1001646
10290866	1001646
10217227	1001646
6940672	1235094
10391082	6603047
10041642	1235094
10221131	1001646
10080909	1235094
10289466	1001646
1114033	1348424
1087440	2002877
1041365	1256628
2057052	2002877
1132169	2009963
1246477	2012482
10155945	10170002
2128606	1259472
1051303	1259472
2085833	179
1284626	2012482
6997121	2038842
1335235	2111905
1012331	1259472
6703911	1259472
2087787	1000313
6745885	1268522
1270720	1000591
6916264	393
1333039	1261844
1115126	1015918
6661085	1015918
1238989	1000591
2051851	1000591
6794968	1000591
2055818	1000591
6676117	1000591
1328996	1000848
10002652	1000848
2178287	1000851
2141406	1000852
6825811	1000852
1348034	1000852
1350870	1000852
1077960	1000853
1012640	1000854
1113206	1000854
1314067	1000854
1018573	1000854
1162647	1000854
1009215	1000854
2050819	1000854
9905581	1000854
6782667	1000864
6837768	1000873
2179263	1000881
1140490	1000881
2028971	1000881
2002779	1000881
1341375	1000881
1224676	1000881
1244509	1000881
1244510	1000881
1252507	1073311
6687871	1073311
10295067	1187
10042885	1013851
10152910	1005113
2163319	1000881
1244516	1000881
1019046	1000881
1320708	1000881
1320701	1000881
1067662	2065119
10152861	1005113
10152862	1005113
10080769	1006332
6822941	1013656
1064186	1259472
1171175	1259472
6726398	1259522
10121985	4616
1286771	1259522
6839688	1000881
1196878	1000881
6812161	1000881
1299554	1000881
2061078	1259542
1190708	1259542
7005777	1259542
1231148	1259543
2046451	1259543
7006212	1259543
6794799	1259543
1173046	1259555
1110422	1259585
1027008	1259585
6780111	1259585
1060023	1259585
1035359	1259585
2136225	1259657
1257849	1000881
1084087	1000881
1294772	1000881
2146813	1000881
2146800	1000881
1093242	1259657
1233281	1000881
2147144	1000881
2056710	1000881
2041970	1000881
2024234	1000952
1339462	1259680
1114779	1000998
1022950	1259680
6957131	1259688
1008917	1259737
6813421	1259770
6655790	1259775
1024636	1259830
1052475	1259897
9947022	1259920
1094527	1259979
10109389	1247272
2055144	1000251
1199012	6730414
1331576	1000251
2177084	6799498
1154717	1000251
1341142	1000251
1341173	1000251
10015397	1019469
